Variable Name,Description
QUERCUS_SEED_LIVE,QUERCUS_SEED_LIVE = Live oak seedling density (seedlings ha-1)
QUERCUS_SEED_DEAD,QUERCUS _SEED_DEAD = Dead oak seedling density (seedlings ha-1)
QUERCUS_SAP_LIVE,QUERCUS _SAP_LIVE = Live oak sapling density (saplings ha-1)
QUERCUS_SAP_DEAD,QUERCUS _SAP_DEAD = Dead oak sapling density (saplings ha-1)
PICEA_SEED_LIVE,PICEA_SEED_LIVE = Live unknown spruce seedling density (seedlings ha-1)
PICEA_SEED_DEAD,PICEA _SEED_DEAD = Dead unknown spruce seedling density (seedlings ha-1)
PICEA_SAP_LIVE,PICEA _SAP_LIVE = Live unknown spruce sapling density (saplings ha-1)
PICEA_SAP_DEAD,PICEA _SAP_DEAD = Dead unknown spruce sapling density (saplings ha-1)
SALIX_SEED_LIVE,SALIX_SEED_LIVE = Live willow seedling density (seedlings ha-1)
SALIX_SEED_DEAD,SALIX _SEED_DEAD = Dead willow seedling density (seedlings ha-1)
SALIX_SAP_LIVE,SALIX _SAP_LIVE = Live willow sapling density (saplings ha-1)
SALIX_SAP_DEAD,SALIX _SAP_DEAD = Dead willow sapling density (saplings ha-1)
OTHER_SEED_LIVE,OTHER_SEED_LIVE = Live other or unknown seedling density (seedlings ha-1)
OTHER_SEED_DEAD,OTHER _SEED_DEAD = Dead other or unknown seedling density (seedlings ha-1)
OTHER_SAP_LIVE,OTHER _SAP_LIVE = Live other or unknown sapling density (saplings ha-1)
OTHER_SAP_DEAD,OTHER _SAP_DEAD = Dead other or unknown sapling density (saplings ha-1)
TOTAL_SEED_LIVE,TOTAL_SEED_LIVE = Total live seedling density (seedlings ha-1)
TOTAL_SEED_DEAD,TOTAL _SEED_DEAD = Total dead seedling density (seedlings ha-1)
TOTAL_SAP_LIVE,TOTAL _SAP_LIVE = Total live sapling density (saplings ha-1)
TOTAL_SAP_DEAD,TOTAL _SAP_DEAD = Total dead sapling density (saplings ha-1)
DNBR,DNBR = Differenced Normalized Burn Ratio (dNBR) measurement from Monitoring Trends in Burn Severity
NBR_1984,NBR_1984 = Normalized burn ratio in 1984 (derived from LandTrendr)
NBR_1985,NBR_1985 = Normalized burn ratio in 1985 (derived from LandTrendr)
NBR_1986,NBR_1986 = Normalized burn ratio in 1986 (derived from LandTrendr)
NBR_1987,NBR_1987 = Normalized burn ratio in 1987 (derived from LandTrendr)
NBR_1988,NBR_1988 = Normalized burn ratio in 1988 (derived from LandTrendr)
NBR_1989,NBR_1989 = Normalized burn ratio in 1989 (derived from LandTrendr)
